Datos que encuentra el metodo de Rungecuta(variable ind.	 variable dep.	 numero de thread)
0.022996	 0.822841 	 numero de thread:0
0.023059	 0.822944 	 numero de thread:0
0.023122	 0.823047 	 numero de thread:0
0.023185	 0.823150 	 numero de thread:0
0.023248	 0.823253 	 numero de thread:0
0.023311	 0.823356 	 numero de thread:0
0.023373	 0.823459 	 numero de thread:0
0.023436	 0.823562 	 numero de thread:0
0.023499	 0.823665 	 numero de thread:0
0.023562	 0.823768 	 numero de thread:0
0.023625	 0.823871 	 numero de thread:0
0.023688	 0.823974 	 numero de thread:0
0.023750	 0.824078 	 numero de thread:0
0.023813	 0.824181 	 numero de thread:0
0.023876	 0.824284 	 numero de thread:0
0.023939	 0.824387 	 numero de thread:0
0.024002	 0.824490 	 numero de thread:0
0.024065	 0.824593 	 numero de thread:0
0.024127	 0.824696 	 numero de thread:0
0.024190	 0.824799 	 numero de thread:0
0.024253	 0.824902 	 numero de thread:0
0.024316	 0.825005 	 numero de thread:0
0.024379	 0.825109 	 numero de thread:0
0.024442	 0.825212 	 numero de thread:0
0.024504	 0.825315 	 numero de thread:0
0.024567	 0.825418 	 numero de thread:0
0.024630	 0.825521 	 numero de thread:0
0.024693	 0.825624 	 numero de thread:0
0.024756	 0.825727 	 numero de thread:0
0.024819	 0.825830 	 numero de thread:0
0.024881	 0.825934 	 numero de thread:0
0.024944	 0.826037 	 numero de thread:0
0.025007	 0.826140 	 numero de thread:0
0.025070	 0.826243 	 numero de thread:0
0.025133	 0.826346 	 numero de thread:0
0.025196	 0.826449 	 numero de thread:0
0.025258	 0.826553 	 numero de thread:0
0.025321	 0.826656 	 numero de thread:0
0.025384	 0.826759 	 numero de thread:0
0.025447	 0.826862 	 numero de thread:0
0.025510	 0.826965 	 numero de thread:0
0.025573	 0.827068 	 numero de thread:0
0.025635	 0.827172 	 numero de thread:0
0.025698	 0.827275 	 numero de thread:0
0.025761	 0.827378 	 numero de thread:0
0.025824	 0.827481 	 numero de thread:0
0.025887	 0.827585 	 numero de thread:0
0.025950	 0.827688 	 numero de thread:0
0.026012	 0.827791 	 numero de thread:0
0.026075	 0.827894 	 numero de thread:0
0.026138	 0.827997 	 numero de thread:0
0.026201	 0.828101 	 numero de thread:0
0.026264	 0.828204 	 numero de thread:0
0.026327	 0.828307 	 numero de thread:0
0.026389	 0.828410 	 numero de thread:0
0.026452	 0.828514 	 numero de thread:0
0.026515	 0.828617 	 numero de thread:0
0.026578	 0.828720 	 numero de thread:0
0.026641	 0.828823 	 numero de thread:0
0.026704	 0.828927 	 numero de thread:0
0.026766	 0.829030 	 numero de thread:0
0.026829	 0.829133 	 numero de thread:0
0.026892	 0.829236 	 numero de thread:0
0.026955	 0.829340 	 numero de thread:0
0.027018	 0.829443 	 numero de thread:0
0.027081	 0.829546 	 numero de thread:0
0.027143	 0.829650 	 numero de thread:0
0.027206	 0.829753 	 numero de thread:0
0.027269	 0.829856 	 numero de thread:0
0.027332	 0.829960 	 numero de thread:0
0.027395	 0.830063 	 numero de thread:0
0.027458	 0.830166 	 numero de thread:0
0.027520	 0.830269 	 numero de thread:0
0.027583	 0.830373 	 numero de thread:0
0.027646	 0.830476 	 numero de thread:0
0.027709	 0.830579 	 numero de thread:0
0.027772	 0.830683 	 numero de thread:0
0.027835	 0.830786 	 numero de thread:0
0.027897	 0.830889 	 numero de thread:0
0.027960	 0.830993 	 numero de thread:0
0.028023	 0.831096 	 numero de thread:0
0.028086	 0.831200 	 numero de thread:0
0.028149	 0.831303 	 numero de thread:0
0.028212	 0.831406 	 numero de thread:0
0.028274	 0.831510 	 numero de thread:0
0.028337	 0.831613 	 numero de thread:0
0.028400	 0.831716 	 numero de thread:0
0.028463	 0.831820 	 numero de thread:0
0.028526	 0.831923 	 numero de thread:0
0.028588	 0.832027 	 numero de thread:0
0.028651	 0.832130 	 numero de thread:0
0.028714	 0.832233 	 numero de thread:0
0.028777	 0.832337 	 numero de thread:0
0.028840	 0.832440 	 numero de thread:0
0.028903	 0.832544 	 numero de thread:0
0.028965	 0.832647 	 numero de thread:0
0.029028	 0.832750 	 numero de thread:0
0.029091	 0.832854 	 numero de thread:0
0.029154	 0.832957 	 numero de thread:0
0.029217	 0.833061 	 numero de thread:0
0.029280	 0.833164 	 numero de thread:0
0.029342	 0.833268 	 numero de thread:0
0.029405	 0.833371 	 numero de thread:0
0.029468	 0.833474 	 numero de thread:0
0.029531	 0.833578 	 numero de thread:0
0.029594	 0.833681 	 numero de thread:0
0.029657	 0.833785 	 numero de thread:0
0.029719	 0.833888 	 numero de thread:0
0.029782	 0.833992 	 numero de thread:0
0.029845	 0.834095 	 numero de thread:0
0.029908	 0.834199 	 numero de thread:0
0.029971	 0.834302 	 numero de thread:0
0.030034	 0.834406 	 numero de thread:0
0.030096	 0.834509 	 numero de thread:0
0.030159	 0.834613 	 numero de thread:0
0.030222	 0.834716 	 numero de thread:0
0.030285	 0.834820 	 numero de thread:0
0.030348	 0.834923 	 numero de thread:0
0.030411	 0.835027 	 numero de thread:0
0.030473	 0.835130 	 numero de thread:0
0.030536	 0.835234 	 numero de thread:0
0.030599	 0.835337 	 numero de thread:0
0.030662	 0.835441 	 numero de thread:0
0.030725	 0.835544 	 numero de thread:0
0.030788	 0.835648 	 numero de thread:0
0.030850	 0.835751 	 numero de thread:0
0.030913	 0.835855 	 numero de thread:0
0.030976	 0.835958 	 numero de thread:0
0.031039	 0.836062 	 numero de thread:0
0.031102	 0.836165 	 numero de thread:0
0.031165	 0.836269 	 numero de thread:0
0.031227	 0.836373 	 numero de thread:0
0.031290	 0.836476 	 numero de thread:0
0.031353	 0.836580 	 numero de thread:0
0.031416	 0.836683 	 numero de thread:0
0.031479	 0.836787 	 numero de thread:0
0.031542	 0.836890 	 numero de thread:0
0.031604	 0.836994 	 numero de thread:0
0.031667	 0.837098 	 numero de thread:0
0.031730	 0.837201 	 numero de thread:0
0.031793	 0.837305 	 numero de thread:0
0.031856	 0.837408 	 numero de thread:0
0.031919	 0.837512 	 numero de thread:0
0.031981	 0.837616 	 numero de thread:0
0.032044	 0.837719 	 numero de thread:0
0.032107	 0.837823 	 numero de thread:0
0.032170	 0.837926 	 numero de thread:0
0.032233	 0.838030 	 numero de thread:0
0.032296	 0.838134 	 numero de thread:0
0.032358	 0.838237 	 numero de thread:0
0.032421	 0.838341 	 numero de thread:0
0.032484	 0.838445 	 numero de thread:0
0.032547	 0.838548 	 numero de thread:0
0.032610	 0.838652 	 numero de thread:0
0.032673	 0.838756 	 numero de thread:0
0.032735	 0.838859 	 numero de thread:0
0.032798	 0.838963 	 numero de thread:0
0.032861	 0.839067 	 numero de thread:0
0.032924	 0.839170 	 numero de thread:0
0.032987	 0.839274 	 numero de thread:0
0.033050	 0.839378 	 numero de thread:0
0.033112	 0.839481 	 numero de thread:0
0.033175	 0.839585 	 numero de thread:0
0.033238	 0.839689 	 numero de thread:0
0.033301	 0.839792 	 numero de thread:0
0.033364	 0.839896 	 numero de thread:0
0.033427	 0.840000 	 numero de thread:0
0.033489	 0.840104 	 numero de thread:0
0.033552	 0.840207 	 numero de thread:0
0.033615	 0.840311 	 numero de thread:0
0.033678	 0.840415 	 numero de thread:0
0.033741	 0.840518 	 numero de thread:0
0.033804	 0.840622 	 numero de thread:0
0.033866	 0.840726 	 numero de thread:0
0.033929	 0.840830 	 numero de thread:0
0.033992	 0.840933 	 numero de thread:0
0.034055	 0.841037 	 numero de thread:0
0.034118	 0.841141 	 numero de thread:0
0.034181	 0.841245 	 numero de thread:0
0.034243	 0.841348 	 numero de thread:0
0.034306	 0.841452 	 numero de thread:0
0.034369	 0.841556 	 numero de thread:0
0.034432	 0.841660 	 numero de thread:0
0.034495	 0.841763 	 numero de thread:0
0.034558	 0.841867 	 numero de thread:0
0.034620	 0.841971 	 numero de thread:0
0.034683	 0.842075 	 numero de thread:0
0.034746	 0.842179 	 numero de thread:0
0.034809	 0.842282 	 numero de thread:0
0.034872	 0.842386 	 numero de thread:0
0.034935	 0.842490 	 numero de thread:0
0.034997	 0.842594 	 numero de thread:0
0.035060	 0.842698 	 numero de thread:0
