Datos que encuentra el metodo de Rungecuta(variable ind.	 variable dep.	 numero de thread)
0.026075	 0.812285 	 numero de thread:3
0.026138	 0.812351 	 numero de thread:3
0.026201	 0.812418 	 numero de thread:3
0.026264	 0.812485 	 numero de thread:3
0.026327	 0.812552 	 numero de thread:3
0.026389	 0.812619 	 numero de thread:3
0.026452	 0.812685 	 numero de thread:3
0.026515	 0.812752 	 numero de thread:3
0.026578	 0.812819 	 numero de thread:3
0.026641	 0.812886 	 numero de thread:3
0.026704	 0.812953 	 numero de thread:3
0.026766	 0.813020 	 numero de thread:3
0.026829	 0.813086 	 numero de thread:3
0.026892	 0.813153 	 numero de thread:3
0.026955	 0.813220 	 numero de thread:3
0.027018	 0.813287 	 numero de thread:3
0.027081	 0.813354 	 numero de thread:3
0.027143	 0.813421 	 numero de thread:3
0.027206	 0.813488 	 numero de thread:3
0.027269	 0.813555 	 numero de thread:3
0.027332	 0.813622 	 numero de thread:3
0.027395	 0.813689 	 numero de thread:3
0.027458	 0.813756 	 numero de thread:3
0.027520	 0.813823 	 numero de thread:3
0.027583	 0.813890 	 numero de thread:3
0.027646	 0.813957 	 numero de thread:3
0.027709	 0.814024 	 numero de thread:3
0.027772	 0.814091 	 numero de thread:3
0.027835	 0.814158 	 numero de thread:3
0.027897	 0.814225 	 numero de thread:3
0.027960	 0.814292 	 numero de thread:3
0.028023	 0.814359 	 numero de thread:3
0.028086	 0.814426 	 numero de thread:3
0.028149	 0.814493 	 numero de thread:3
0.028212	 0.814560 	 numero de thread:3
0.028274	 0.814627 	 numero de thread:3
0.028337	 0.814694 	 numero de thread:3
0.028400	 0.814762 	 numero de thread:3
0.028463	 0.814829 	 numero de thread:3
0.028526	 0.814896 	 numero de thread:3
0.028588	 0.814963 	 numero de thread:3
0.028651	 0.815030 	 numero de thread:3
0.028714	 0.815097 	 numero de thread:3
0.028777	 0.815164 	 numero de thread:3
0.028840	 0.815232 	 numero de thread:3
0.028903	 0.815299 	 numero de thread:3
0.028965	 0.815366 	 numero de thread:3
0.029028	 0.815433 	 numero de thread:3
0.029091	 0.815500 	 numero de thread:3
0.029154	 0.815568 	 numero de thread:3
0.029217	 0.815635 	 numero de thread:3
0.029280	 0.815702 	 numero de thread:3
0.029342	 0.815769 	 numero de thread:3
0.029405	 0.815837 	 numero de thread:3
0.029468	 0.815904 	 numero de thread:3
0.029531	 0.815971 	 numero de thread:3
0.029594	 0.816039 	 numero de thread:3
0.029657	 0.816106 	 numero de thread:3
0.029719	 0.816173 	 numero de thread:3
0.029782	 0.816241 	 numero de thread:3
0.029845	 0.816308 	 numero de thread:3
0.029908	 0.816375 	 numero de thread:3
0.029971	 0.816443 	 numero de thread:3
0.030034	 0.816510 	 numero de thread:3
0.030096	 0.816577 	 numero de thread:3
0.030159	 0.816645 	 numero de thread:3
0.030222	 0.816712 	 numero de thread:3
0.030285	 0.816780 	 numero de thread:3
0.030348	 0.816847 	 numero de thread:3
0.030411	 0.816914 	 numero de thread:3
0.030473	 0.816982 	 numero de thread:3
0.030536	 0.817049 	 numero de thread:3
0.030599	 0.817117 	 numero de thread:3
0.030662	 0.817184 	 numero de thread:3
0.030725	 0.817252 	 numero de thread:3
0.030788	 0.817319 	 numero de thread:3
0.030850	 0.817387 	 numero de thread:3
0.030913	 0.817454 	 numero de thread:3
0.030976	 0.817522 	 numero de thread:3
0.031039	 0.817589 	 numero de thread:3
0.031102	 0.817657 	 numero de thread:3
0.031165	 0.817724 	 numero de thread:3
0.031227	 0.817792 	 numero de thread:3
0.031290	 0.817859 	 numero de thread:3
0.031353	 0.817927 	 numero de thread:3
0.031416	 0.817995 	 numero de thread:3
0.031479	 0.818062 	 numero de thread:3
0.031542	 0.818130 	 numero de thread:3
0.031604	 0.818197 	 numero de thread:3
0.031667	 0.818265 	 numero de thread:3
0.031730	 0.818333 	 numero de thread:3
0.031793	 0.818400 	 numero de thread:3
0.031856	 0.818468 	 numero de thread:3
0.031919	 0.818536 	 numero de thread:3
0.031981	 0.818603 	 numero de thread:3
0.032044	 0.818671 	 numero de thread:3
0.032107	 0.818739 	 numero de thread:3
0.032170	 0.818806 	 numero de thread:3
0.032233	 0.818874 	 numero de thread:3
0.032296	 0.818942 	 numero de thread:3
0.032358	 0.819009 	 numero de thread:3
0.032421	 0.819077 	 numero de thread:3
0.032484	 0.819145 	 numero de thread:3
0.032547	 0.819213 	 numero de thread:3
0.032610	 0.819280 	 numero de thread:3
0.032673	 0.819348 	 numero de thread:3
0.032735	 0.819416 	 numero de thread:3
0.032798	 0.819484 	 numero de thread:3
0.032861	 0.819552 	 numero de thread:3
0.032924	 0.819619 	 numero de thread:3
0.032987	 0.819687 	 numero de thread:3
0.033050	 0.819755 	 numero de thread:3
0.033112	 0.819823 	 numero de thread:3
0.033175	 0.819891 	 numero de thread:3
0.033238	 0.819959 	 numero de thread:3
0.033301	 0.820027 	 numero de thread:3
0.033364	 0.820094 	 numero de thread:3
0.033427	 0.820162 	 numero de thread:3
0.033489	 0.820230 	 numero de thread:3
0.033552	 0.820298 	 numero de thread:3
0.033615	 0.820366 	 numero de thread:3
0.033678	 0.820434 	 numero de thread:3
0.033741	 0.820502 	 numero de thread:3
0.033804	 0.820570 	 numero de thread:3
0.033866	 0.820638 	 numero de thread:3
0.033929	 0.820706 	 numero de thread:3
0.033992	 0.820774 	 numero de thread:3
0.034055	 0.820842 	 numero de thread:3
0.034118	 0.820910 	 numero de thread:3
0.034181	 0.820978 	 numero de thread:3
0.034243	 0.821046 	 numero de thread:3
0.034306	 0.821114 	 numero de thread:3
0.034369	 0.821182 	 numero de thread:3
0.034432	 0.821250 	 numero de thread:3
0.034495	 0.821318 	 numero de thread:3
0.034558	 0.821386 	 numero de thread:3
0.034620	 0.821454 	 numero de thread:3
0.034683	 0.821522 	 numero de thread:3
0.034746	 0.821590 	 numero de thread:3
0.034809	 0.821659 	 numero de thread:3
0.034872	 0.821727 	 numero de thread:3
0.034935	 0.821795 	 numero de thread:3
0.034997	 0.821863 	 numero de thread:3
0.035060	 0.821931 	 numero de thread:3
0.035123	 0.821999 	 numero de thread:3
0.035186	 0.822067 	 numero de thread:3
0.035249	 0.822136 	 numero de thread:3
0.035312	 0.822204 	 numero de thread:3
0.035374	 0.822272 	 numero de thread:3
0.035437	 0.822340 	 numero de thread:3
0.035500	 0.822408 	 numero de thread:3
0.035563	 0.822477 	 numero de thread:3
0.035626	 0.822545 	 numero de thread:3
0.035688	 0.822613 	 numero de thread:3
0.035751	 0.822681 	 numero de thread:3
0.035814	 0.822750 	 numero de thread:3
0.035877	 0.822818 	 numero de thread:3
0.035940	 0.822886 	 numero de thread:3
0.036003	 0.822954 	 numero de thread:3
0.036065	 0.823023 	 numero de thread:3
0.036128	 0.823091 	 numero de thread:3
0.036191	 0.823159 	 numero de thread:3
0.036254	 0.823228 	 numero de thread:3
0.036317	 0.823296 	 numero de thread:3
0.036380	 0.823364 	 numero de thread:3
0.036442	 0.823433 	 numero de thread:3
0.036505	 0.823501 	 numero de thread:3
0.036568	 0.823570 	 numero de thread:3
0.036631	 0.823638 	 numero de thread:3
0.036694	 0.823706 	 numero de thread:3
0.036757	 0.823775 	 numero de thread:3
0.036819	 0.823843 	 numero de thread:3
0.036882	 0.823912 	 numero de thread:3
0.036945	 0.823980 	 numero de thread:3
0.037008	 0.824048 	 numero de thread:3
0.037071	 0.824117 	 numero de thread:3
0.037134	 0.824185 	 numero de thread:3
0.037196	 0.824254 	 numero de thread:3
0.037259	 0.824322 	 numero de thread:3
0.037322	 0.824391 	 numero de thread:3
0.037385	 0.824459 	 numero de thread:3
0.037448	 0.824528 	 numero de thread:3
0.037511	 0.824596 	 numero de thread:3
0.037573	 0.824665 	 numero de thread:3
0.037636	 0.824734 	 numero de thread:3
0.037699	 0.824802 	 numero de thread:3
0.037762	 0.824871 	 numero de thread:3
0.037825	 0.824939 	 numero de thread:3
0.037888	 0.825008 	 numero de thread:3
0.037950	 0.825076 	 numero de thread:3
0.038013	 0.825145 	 numero de thread:3
0.038076	 0.825214 	 numero de thread:3
0.038139	 0.825282 	 numero de thread:3
0.038202	 0.825351 	 numero de thread:3
0.038265	 0.825420 	 numero de thread:3
0.038327	 0.825488 	 numero de thread:3
0.038390	 0.825557 	 numero de thread:3
0.038453	 0.825626 	 numero de thread:3
0.038516	 0.825694 	 numero de thread:3
0.038579	 0.825763 	 numero de thread:3
0.038642	 0.825832 	 numero de thread:3
0.038704	 0.825900 	 numero de thread:3
0.038767	 0.825969 	 numero de thread:3
0.038830	 0.826038 	 numero de thread:3
0.038893	 0.826107 	 numero de thread:3
0.038956	 0.826175 	 numero de thread:3
0.039019	 0.826244 	 numero de thread:3
0.039081	 0.826313 	 numero de thread:3
0.039144	 0.826382 	 numero de thread:3
0.039207	 0.826450 	 numero de thread:3
0.039270	 0.826519 	 numero de thread:3
0.039333	 0.826588 	 numero de thread:3
0.039396	 0.826657 	 numero de thread:3
0.039458	 0.826726 	 numero de thread:3
0.039521	 0.826795 	 numero de thread:3
0.039584	 0.826863 	 numero de thread:3
0.039647	 0.826932 	 numero de thread:3
0.039710	 0.827001 	 numero de thread:3
0.039773	 0.827070 	 numero de thread:3
0.039835	 0.827139 	 numero de thread:3
0.039898	 0.827208 	 numero de thread:3
0.039961	 0.827277 	 numero de thread:3
0.040024	 0.827346 	 numero de thread:3
0.040087	 0.827415 	 numero de thread:3
0.040150	 0.827483 	 numero de thread:3
0.040212	 0.827552 	 numero de thread:3
0.040275	 0.827621 	 numero de thread:3
0.040338	 0.827690 	 numero de thread:3
0.040401	 0.827759 	 numero de thread:3
0.040464	 0.827828 	 numero de thread:3
0.040527	 0.827897 	 numero de thread:3
0.040589	 0.827966 	 numero de thread:3
0.040652	 0.828035 	 numero de thread:3
0.040715	 0.828104 	 numero de thread:3
0.040778	 0.828173 	 numero de thread:3
0.040841	 0.828242 	 numero de thread:3
0.040904	 0.828312 	 numero de thread:3
0.040966	 0.828381 	 numero de thread:3
0.041029	 0.828450 	 numero de thread:3
0.041092	 0.828519 	 numero de thread:3
0.041155	 0.828588 	 numero de thread:3
0.041218	 0.828657 	 numero de thread:3
0.041281	 0.828726 	 numero de thread:3
0.041343	 0.828795 	 numero de thread:3
